episode,timestep,reward
2,50,-12.1787
4,100,-8.2696
7,150,-6.653
9,200,-10.2701
12,250,-8.5586
14,300,-11.7705
17,350,-10.1012
19,400,-11.3474
22,450,-12.5572
24,500,-10.0718
27,550,-11.6506
29,600,-10.3531
32,650,-10.827
34,700,-10.071
37,750,-11.8746
39,800,-14.0403
42,850,-11.2945
44,900,-6.6333
47,950,-11.1981
49,1000,-8.6918
52,1050,-10.6579
54,1100,-7.7039
57,1150,-12.3073
59,1200,-10.5459
62,1250,-9.4059
64,1300,-6.3741
67,1350,-12.2601
69,1400,-8.4612
72,1450,-10.6032
74,1500,-10.7884
77,1550,-10.3703
79,1600,-11.3839
82,1650,-10.879
84,1700,-11.9426
87,1750,-8.9963
89,1800,-9.0814
92,1850,-9.0146
94,1900,-8.6596
97,1950,-13.5837
99,2000,-9.9516
102,2050,-10.244
104,2100,-9.5058
107,2150,-10.3764
109,2200,-8.1314
112,2250,-10.8053
114,2300,-11.1339
117,2350,-10.5603
119,2400,-9.5686
122,2450,-9.7636
124,2500,-12.0391
127,2550,-9.6228
129,2600,-11.2179
132,2650,-6.9568
134,2700,-10.9282
137,2750,-11.6801
139,2800,-6.9907
142,2850,-8.6804
144,2900,-13.178
147,2950,-10.9016
149,3000,-12.0316
152,3050,-11.302
154,3100,-6.6754
157,3150,-6.8101
159,3200,-9.2115
162,3250,-14.346
164,3300,-8.0514
167,3350,-10.5015
169,3400,-10.4487
172,3450,-15.2576
174,3500,-12.9575
177,3550,-8.9413
179,3600,-13.1592
182,3650,-10.3346
184,3700,-10.7523
187,3750,-7.9093
189,3800,-7.5385
192,3850,-9.024
194,3900,-6.2574
197,3950,-9.3225
199,4000,-8.1122
202,4050,-9.2081
204,4100,-8.4894
207,4150,-7.8058
209,4200,-13.0934
212,4250,-7.7297
214,4300,-12.5822
217,4350,-10.9021
219,4400,-11.537
222,4450,-11.922
224,4500,-12.3173
227,4550,-10.7949
229,4600,-8.0332
232,4650,-9.7844
234,4700,-10.2929
237,4750,-10.0431
239,4800,-12.1429
242,4850,-10.1296
244,4900,-15.5714
247,4950,-9.8213
249,5000,-10.3805
252,5050,-7.5931
254,5100,-9.7484
257,5150,-9.0225
259,5200,-9.1402
262,5250,-11.0507
264,5300,-12.6323
267,5350,-7.5879
269,5400,-9.024
272,5450,-8.3743
274,5500,-8.0916
277,5550,-10.6296
279,5600,-10.845
282,5650,-10.1106
284,5700,-10.5679
287,5750,-9.3007
289,5800,-10.3796
292,5850,-9.9778
294,5900,-8.951
297,5950,-10.9443
299,6000,-9.0788
302,6050,-10.3402
304,6100,-14.001
307,6150,-12.0823
309,6200,-8.8603
312,6250,-7.7333
314,6300,-10.25
317,6350,-6.495
319,6400,-9.2044
322,6450,-9.3672
324,6500,-11.6314
327,6550,-8.2894
329,6600,-10.5804
332,6650,-8.8894
334,6700,-7.7309
337,6750,-13.1536
339,6800,-10.8406
342,6850,-11.5745
344,6900,-8.0856
347,6950,-9.0766
349,7000,-12.0987
352,7050,-8.5704
354,7100,-9.1247
357,7150,-9.0653
359,7200,-10.9681
362,7250,-10.0087
364,7300,-10.1751
367,7350,-12.977
369,7400,-8.7528
372,7450,-7.8987
374,7500,-7.1397
377,7550,-10.3707
379,7600,-12.9884
382,7650,-7.9786
384,7700,-12.8546
387,7750,-12.215
389,7800,-12.7857
392,7850,-11.0082
394,7900,-11.0674
397,7950,-12.4438
399,8000,-10.8287
402,8050,-9.039
404,8100,-11.6857
407,8150,-9.7176
409,8200,-13.7722
412,8250,-12.4098
414,8300,-11.1232
417,8350,-9.9279
419,8400,-9.7465
422,8450,-10.469
424,8500,-14.6873
427,8550,-9.4377
429,8600,-12.266
432,8650,-8.2712
434,8700,-13.1642
437,8750,-10.1612
439,8800,-8.9086
442,8850,-7.6888
444,8900,-10.5319
447,8950,-8.1132
449,9000,-6.5817
452,9050,-11.3543
454,9100,-11.8369
457,9150,-9.5303
459,9200,-9.4229
462,9250,-11.7332
464,9300,-10.0498
467,9350,-9.1832
469,9400,-12.6061
472,9450,-10.9369
474,9500,-11.9238
477,9550,-11.8722
479,9600,-8.6445
482,9650,-10.3552
484,9700,-11.3224
487,9750,-10.3245
489,9800,-10.3174
492,9850,-11.6381
494,9900,-8.4689
497,9950,-9.8511
499,10000,-10.907
502,10050,-10.6788
504,10100,-6.2974
507,10150,-7.0434
509,10200,-12.1954
512,10250,-11.9222
514,10300,-9.7325
517,10350,-10.5722
519,10400,-9.0382
522,10450,-8.2015
524,10500,-7.6613
527,10550,-7.4912
529,10600,-11.2859
532,10650,-10.4646
534,10700,-11.1084
537,10750,-9.4317
539,10800,-10.4063
542,10850,-10.8039
544,10900,-8.7003
547,10950,-9.4656
549,11000,-11.4652
552,11050,-8.7911
554,11100,-7.0239
557,11150,-8.775
559,11200,-6.0867
562,11250,-8.9451
564,11300,-14.301
567,11350,-8.7702
569,11400,-13.1577
572,11450,-7.5071
574,11500,-14.0819
577,11550,-10.5198
579,11600,-10.0964
582,11650,-10.555
584,11700,-8.9429
587,11750,-9.7326
589,11800,-8.0991
592,11850,-10.5463
594,11900,-7.4069
597,11950,-10.4838
599,12000,-10.3808
602,12050,-11.2763
604,12100,-7.9452
607,12150,-6.8719
609,12200,-10.9209
612,12250,-10.3171
614,12300,-8.1757
617,12350,-9.4113
619,12400,-11.6588
622,12450,-12.3986
624,12500,-6.4055
627,12550,-8.743
629,12600,-14.714
632,12650,-8.7194
634,12700,-7.5586
637,12750,-8.9904
639,12800,-10.2127
642,12850,-9.824
644,12900,-8.1176
647,12950,-12.7299
649,13000,-5.8423
652,13050,-8.7266
654,13100,-7.1404
657,13150,-9.1194
659,13200,-9.9619
662,13250,-12.3955
664,13300,-9.1387
667,13350,-12.7193
669,13400,-9.8694
672,13450,-7.7472
674,13500,-10.1857
677,13550,-11.1893
679,13600,-6.9486
682,13650,-9.6774
684,13700,-8.6538
687,13750,-9.429
689,13800,-11.3653
692,13850,-8.5206
694,13900,-9.5254
697,13950,-9.2512
699,14000,-9.6888
